feature,frequency,rank,docfreq,group
transfer,2227.129020614718,180,339,all
issue,2217.1828740424344,181,604,all
imposed,2213.2609226060677,182,334,all
receiving,2210.39744784939,183,709,all
form,2207.3424815823446,184,558,all
youth,2205.7370361039234,185,404,all
set,2203.141506166377,186,702,all
number,2199.5259572073833,187,871,all
united,2191.8017049262544,188,600,all
product,2189.944609629359,189,123,all
guilty,2176.1003284640974,190,206,all
rates,2174.858547820646,191,319,all
procedures,2172.677074811867,192,768,all
account,2160.0236786546084,193,254,all
civil,2153.4991125612523,194,488,all
control,2152.3405646280726,195,464,all
fiscal,2147.4980176893514,196,825,all
sections,2144.4263303330267,197,593,all
temporary,2141.4099812964046,198,434,all
paid,2139.5237569188366,199,386,all
unit,2138.6597197090523,200,383,all
liability,2135.21859372571,201,285,all
payments,2132.384262689502,202,240,all
area,2127.4854847053316,203,453,all
adopted,2125.3721766088734,204,443,all
per,2124.0897430871264,205,465,all
financial,2115.7209116834533,206,565,all
superintendent,2113.2524765241405,207,175,all
percent,2112.398513495791,208,301,all
psychiatric,2111.552383367977,209,546,all
developmental,2106.6219454084626,210,563,all
supervision,2098.0298598389422,211,502,all
task,2089.706346801867,212,155,all
harm,2087.7336303344764,213,356,all
veterans,2087.6661621882627,214,292,all
experience,2080.961919870116,215,558,all
marijuana,2072.9397104926766,216,27,all
disabilities,2068.9886797829117,217,614,all
special,2067.5543358352475,218,520,all
party,2061.249829932519,219,251,all
hygiene,2057.918185138657,220,466,all
status,2057.054964423412,221,466,all
costs,2052.7416344479843,222,573,all
dental,2052.2502745358397,223,150,all
administrative,2050.063969505524,224,562,all
human,2046.343187807157,225,734,all
credit,2036.0705832238107,226,237,all
custody,2029.0684865715461,227,393,all
related,2028.4568683605178,228,983,all
approval,2022.528669137609,229,449,all
response,2021.8693157287046,230,376,all
sale,2015.2127291186407,231,212,all
person's,2014.7812057203882,232,386,all
medicine,2010.118796161833,233,231,all
make,2006.440416715746,234,1025,all
subparagraph,2006.344966055105,235,347,all
therapist,2005.540801705752,236,227,all
policy,2003.435345365708,237,527,all
conditions,1989.6387226593883,238,764,all
additional,1986.6980748927351,239,713,all
reasonable,1985.581294485235,240,559,all
assessment,1983.8027511003684,241,602,all
day,1982.1251653035124,242,975,all
staff,1978.871227948481,243,574,all
medication,1978.8381369219794,244,337,all
consent,1975.533568139226,245,383,all
establish,1972.8239158410108,246,998,all
institution,1971.9732886085446,247,397,all
access,1970.548000403555,248,856,all
worker,1968.645154215081,249,357,all
received,1964.9855276261492,250,713,all
name,1964.6050236044723,251,382,all
committed,1954.5785697252356,252,830,all
commitment,1949.8356495589578,253,263,all
filed,1944.4036305870063,254,396,all
management,1938.961047193135,255,560,all
possession,1929.516414428651,256,228,all
agencies,1926.4756549262295,257,763,all
administration,1916.7049323306187,258,598,all
interstate,1909.4682288470426,259,65,all
national,1908.9490509308966,260,594,all
basis,1907.1553517221046,261,684,all
counseling,1906.9621576398033,262,489,all
development,1905.974566068745,263,650,all
meet,1904.7932337295078,264,799,all
private,1903.968239372018,265,656,all
principal,1898.3583619025553,266,209,all
insurer,1897.74824129382,267,146,all
continuing,1888.5657166394078,268,332,all
prescribed,1888.322052394914,269,546,all
agreement,1888.0501307036673,270,435,all
condition,1887.7900852653704,271,675,all
personnel,1882.0419742468223,272,524,all
employer,1879.9660706864388,273,217,all
trust,1874.2119766413216,274,123,all
covering,1871.8384834906265,275,72,all
impose,1871.4119596042801,276,285,all
registrar,1863.2126599457395,277,15,all
either,1857.5733292082307,278,607,all
duties,1855.8423912253631,279,669,all
fees,1855.0934432831052,280,335,all
team,1843.4984801457824,281,258,all
placement,1842.8824066747045,282,341,all
receive,1839.883044320826,283,979,all
covered,1838.9884540847709,284,335,all
legal,1833.9612816022604,285,498,all
food,1830.7468889503816,286,244,all
revenue,1828.8984751335447,287,341,all
renewal,1826.1808004235145,288,230,all
petitioner,1823.422279652454,289,117,all
sentence,1823.3351139188283,290,245,all
provides,1818.8247550602207,291,1146,all
educational,1813.5523357205868,292,622,all
terms,1813.2863202187727,293,558,all
inmate,1810.4721080268253,294,85,all
current,1805.7667622715644,295,663,all
company,1804.2907493471048,296,143,all
child's,1803.9822427551521,297,149,all
serious,1802.746269408738,298,437,all
direct,1802.228422174519,299,502,all
respect,1797.3758095958005,300,390,all
process,1795.7306833187574,301,645,all
jurisdiction,1790.6973773176094,302,460,all
needs,1788.5344092036871,303,769,all
place,1786.6662803083238,304,484,all
proceedings,1783.4496969097002,305,296,all
group,1782.5863232289148,306,530,all
licensing,1779.1533084257492,307,333,all
funding,1776.446179403452,308,524,all
however,1772.7701975828943,309,623,all
executive,1770.5775285090167,310,401,all
involved,1769.2976423997604,311,314,all
minimum,1765.6789350860452,312,697,all
determine,1757.5950313915994,313,715,all
includes,1756.6790259611628,314,694,all
intervention,1756.0306476014384,315,500,all
annual,1753.650056861157,316,585,all
proposed,1751.5399048862482,317,356,all
reimbursement,1747.4160383084861,318,459,all
file,1745.8719581233004,319,355,all
exceed,1745.2762507368163,320,392,all
victim,1745.154929290587,321,165,all
trafficking,1744.3919450564947,322,63,all
cause,1740.9125093827852,323,559,all
restrictive,1737.6505325287037,324,204,all
manner,1736.6813155146313,325,781,all
pilot,1736.3554402278512,326,163,all
alternative,1735.0716437824851,327,365,all
result,1732.0906374671683,328,581,all
benefit,1730.5008555338968,329,385,all
patients,1727.9160719452327,330,443,all
investigation,1725.8466076869258,331,282,all
alcohol,1725.7230535180313,332,374,all
determination,1721.2016918105817,333,473,all
intellectual,1716.474718171813,334,168,all
regarding,1715.1320310355106,335,938,all
personal,1711.6443629116159,336,509,all
patient's,1711.3443891547965,337,225,all
adult,1707.1054148343353,338,358,all
interest,1707.0050897285457,339,455,all
research,1705.5851703571375,340,401,all
cost,1699.3425707008914,341,485,all
regional,1697.0044153087977,342,324,all
activities,1695.6517182339949,343,564,all
secretary,1694.4118999741127,344,316,all
university,1692.8643735298276,345,303,all
opioid,1691.15243866792,346,244,all
month,1690.1906967848067,347,291,all
authorization,1685.8333535684017,348,336,all
total,1684.8694967782476,349,371,all
course,1683.9556602612488,350,496,all
admission,1680.790676065328,351,350,all
excess,1680.539946565702,352,132,all
gender,1679.6054917368538,353,216,all
increase,1678.5115673171401,354,520,all
amounts,1676.7381749300787,355,305,all
grants,1673.146259704764,356,431,all
advanced,1669.3143966302928,357,252,all
government,1669.1069082587169,358,824,all
supports,1667.8435589973917,359,453,all
exceeds,1662.982992854807,360,108,all
marriage,1656.311228693807,361,268,all
organizations,1653.0844152105608,362,570,all
compliance,1651.7160443866808,363,544,all
responder,1651.2879562895248,364,98,all
employees,1650.1467544665713,365,472,all
deemed,1648.7019885678021,366,588,all
recipient,1644.5750337767993,367,261,all
conviction,1643.817069270727,368,154,all
initial,1639.0764356284587,369,412,all
city,1636.7617796269558,370,324,all
also,1636.1691616918981,371,959,all
detention,1635.4996164294348,372,197,all
residence,1626.9346947324987,373,260,all
transportation,1625.991265238558,374,292,all
schedule,1625.7210224157186,375,255,all
screening,1606.6449916836036,376,332,all
officers,1601.3232683953545,377,446,all
justice,1599.6986769501304,378,406,all
equivalent,1595.657048624663,379,286,all
completed,1589.7151430846764,380,723,all
submit,1585.52657693835,381,837,all
consultation,1584.4691754425255,382,603,all
municipality,1584.3783481043843,383,126,all
procedure,1578.8864082372388,384,512,all
assisted,1577.1260420472388,385,149,all
right,1576.781245359581,386,414,all
need,1573.140015552671,387,719,all
protection,1572.2269308464754,388,365,all
risk,1569.1918715836805,389,634,all
notify,1564.395310629482,390,399,all
class,1563.3609363259804,391,271,all
beginning,1562.8618759080703,392,455,all
representative,1561.5219110828482,393,363,all
substances,1560.6018277096111,394,237,all
loan,1557.2402701815297,395,105,all
counselor,1551.240729238343,396,296,all
amending,1550.6336335076346,397,524,all
adopt,1548.7699266115715,398,635,all
complete,1544.8605668784799,399,506,all
meets,1536.7221909014613,400,456,all
sales,1532.2961132698122,401,66,all
iv,1522.1222187167994,402,587,all
crime,1520.31272143592,403,342,all
claim,1520.0211383835008,404,211,all
injury,1518.0208569720705,405,366,all
aid,1515.3398658380397,406,402,all
due,1515.2291571381677,407,498,all
added,1512.4691957184677,408,759,all
death,1510.2613795469522,409,354,all
specific,1507.5869446092042,410,612,all
certain,1505.73644830189,411,952,all
applies,1505.5135887275185,412,387,all
employed,1503.4367563128185,413,421,all
violence,1502.7846889089246,414,303,all
competency,1502.3290889821942,415,144,all
filing,1502.273095626168,416,291,all
sex,1497.6215001588284,417,188,all
nothing,1495.5950427918478,418,455,all
ensure,1494.372610098017,419,892,all
primary,1493.9220789135045,420,425,all
peer,1492.7100000183682,421,323,all
copy,1492.470026720612,422,428,all
hospitals,1492.4121794349546,423,305,all
adverse,1487.8582224951579,424,218,all
comply,1486.6555690080588,425,489,all
requirement,1485.9594418292775,426,476,all
convicted,1485.666725050203,427,216,all
scope,1476.2775277749813,428,380,all
schools,1473.691153520609,429,382,all
association,1472.6990350364174,430,479,all
dispensing,1466.6552211444828,431,102,all
mentally,1466.4844916353734,432,203,all
rights,1465.0192095572024,433,455,all
behavior,1464.7802998181162,434,405,all
every,1463.729386113549,435,717,all
agent,1460.8266341225544,436,190,all
responsible,1449.0697224699088,437,405,all
submitted,1447.8998801194034,438,473,all
pharmacist,1446.438099982314,439,83,all
requiring,1444.4168930217484,440,664,all
eligibility,1439.2357724001238,441,375,all
valid,1433.2088689156408,442,266,all
located,1431.6862467290473,443,396,all
address,1430.6839055580915,444,700,all
delivery,1429.256276413137,445,460,all
good,1427.221495280666,446,421,all
similar,1425.98770271116,447,424,all
present,1422.1200772967943,448,450,all
plans,1416.5378048577509,449,422,all
existing,1415.386674940656,450,713,all
identity,1411.4714018002464,451,200,all
proceeding,1411.1715683154378,452,282,all
municipal,1408.9283821906026,453,209,all
full,1405.6430042677257,454,451,all
penalty,1397.9309992341543,455,202,all
disease,1397.3889343801518,456,359,all
judge,1396.4934262899726,457,178,all
extent,1396.1309217020553,458,582,all
determines,1395.913204786436,459,498,all
holds,1395.4744126458984,460,201,all
waiver,1394.3178335588657,461,265,all
administrator,1391.1230143341734,462,242,all
stabilization,1385.0280752382118,463,146,all
performance,1384.7486839412636,464,433,all
security,1383.8535652056862,465,433,all
counsel,1383.14948929682,466,199,all
policies,1381.7512799695835,467,559,all
second,1380.6099715976623,468,346,all
develop,1380.0681428234218,469,866,all
committee,1379.891912221235,470,1656,all
months,1379.1851605117959,471,520,all
reports,1378.3695572234928,472,520,all
later,1373.8365393344136,473,782,all
whose,1373.4256648891317,474,452,all
failure,1373.2267570427798,475,332,all
maintain,1371.853073559459,476,599,all
actions,1370.0192667102701,477,385,all
compound,1369.8661705840916,478,46,all
ill,1369.4823694367497,479,196,all
body,1369.0238179572164,480,438,all
families,1366.939869825573,481,633,all
compensation,1363.929238690455,482,387,all
identification,1363.9162437397702,483,339,all
disciplinary,1360.531956197968,484,185,all
bonds,1359.3025668643247,485,59,all
governor,1359.0165674804591,486,671,all
discharge,1357.4402117457596,487,341,all
participation,1355.5428569289988,488,421,all
taken,1352.6556389253367,489,377,all
charter,1352.4045032169795,490,163,all
college,1352.0330032324296,491,259,all
created,1350.066907667251,492,603,all
professionals,1349.547207304447,493,569,all
profession,1348.6268095070898,494,161,all
alleged,1347.3737811246917,495,211,all
centers,1341.3078184263147,496,450,all
calendar,1337.5988153384258,497,298,all
implement,1336.835285649744,498,766,all
participating,1332.1115620932594,499,391,all
equal,1331.613610693147,500,253,all
real,1327.642544787004,501,216,all
substantial,1326.6081897892802,502,289,all
regulation,1325.1590879179291,503,609,all
conducted,1324.39729512578,504,458,all
electronic,1323.9259736029735,505,352,all
held,1321.8153229399634,506,400,all
meaning,1320.3483279810587,507,410,all
contributions,1319.276388771696,508,93,all
satisfactory,1317.566912613489,509,128,all
corrections,1317.2823693515643,510,275,all
wage,1317.1632102883214,511,70,all
source,1316.5869269894858,512,617,all
expenses,1315.433153213304,513,409,all
statement,1315.393617613441,514,298,all
granted,1313.7892808380846,515,323,all
misdemeanor,1313.0513863281096,516,175,all
resources,1310.987625331454,517,725,all
voluntary,1310.7253238758278,518,300,all
return,1308.5200378602199,519,222,all
recommendations,1308.4323908425913,520,617,all
designee,1308.2565786542377,521,292,all
disclosure,1307.3825115716966,522,251,all
meeting,1304.520738798677,523,347,all
privilege,1302.3274762789356,524,87,all
practices,1302.1501865190032,525,589,all
receipt,1293.5021364024794,526,369,all
change,1292.216460691116,527,545,all
addition,1292.0397645461692,528,746,all
obtained,1291.2822236150682,529,346,all
claims,1290.8037762573838,530,206,all
study,1290.5625404444377,531,401,all
independent,1289.7253953826778,532,350,all
individual's,1289.5619284712116,533,318,all
mean,1287.13049496039,534,311,all
high,1287.100908496818,535,378,all
given,1286.6949144213636,536,532,all
trial,1284.7028774966875,537,175,all
perform,1283.8642185773322,538,421,all
consistent,1283.4425388604627,539,519,all
reporting,1281.9408864895045,540,446,all
construed,1280.511769281809,541,404,all
operated,1280.0280552032727,542,395,all
long,1279.0483147272885,543,265,all
completion,1278.6646687551877,544,368,all
physicians,1277.642284414791,545,250,all
instruction,1274.2008393163674,546,332,all
circumstances,1273.8647655334396,547,453,all
dangerous,1273.178905254432,548,141,all
interjurisdictional,1272.6071062265107,549,21,all
reason,1270.1589033372074,550,406,all
diagnosis,1270.1419054324608,551,484,all
final,1269.1763106231872,552,313,all
vehicle,1268.3145658007988,553,167,all
preceding,1264.4762877900653,554,277,all
planning,1258.768515698158,555,339,all
peace,1255.6836449518034,556,242,all
judgment,1255.3928798974955,557,276,all
event,1255.0384992054262,558,362,all
quality,1254.4408296155225,559,427,all
level,1251.2892259361392,560,488,all
motor,1249.6623685200007,561,142,all
healthcare,1248.0266486693506,562,268,all
domestic,1246.978441912338,563,180,all
state's,1246.4182591438157,564,281,all
equipment,1243.9706201192823,565,224,all
list,1236.2963229294214,566,366,all
statewide,1235.8250831535809,567,441,all
motion,1234.434423064188,568,159,all
correctional,1233.7697340084853,569,271,all
premises,1233.1933720858985,570,133,all
operation,1231.1225895171092,571,372,all
operating,1229.9762954533728,572,358,all
mobile,1229.3704289860057,573,149,all
network,1228.766860786276,574,221,all
retailer,1228.6391695849004,575,36,all
higher,1228.251526540916,576,442,all
location,1226.8099035751454,577,382,all
receives,1226.557198473644,578,412,all
areas,1225.3137086966221,579,363,all
awareness,1224.7139968997021,580,399,all
relevant,1222.6723600504959,581,531,all
obtain,1220.3128702501367,582,378,all
community-based,1218.705698645135,583,323,all
finds,1216.1248147659999,584,535,all
maintenance,1213.3232403416275,585,347,all
charge,1210.845107946594,586,310,all
utilization,1209.6726172070453,587,227,all
judicial,1203.032462344315,588,222,all
activity,1201.643497685937,589,239,all
holder,1201.000091845377,590,122,all
contact,1200.83214795517,591,373,all
requires,1198.8526573934398,592,648,all
welfare,1198.1757078719365,593,402,all
clerk,1198.0828318389636,594,183,all
can,1196.6325823198954,595,626,all
serve,1196.4216695482983,596,540,all
monitoring,1192.367426164495,597,252,all
finance,1190.2881531111232,598,234,all
military,1188.9575263999188,599,190,all
issuance,1188.0349759601017,600,223,all
prescribing,1185.483096586712,601,175,all
conditional,1185.0764161107152,602,127,all
hold,1184.4270028205751,603,307,all
living,1184.3717666160173,604,296,all
matter,1184.184346273891,605,1223,all
advisory,1182.896167365239,606,306,all
laboratory,1182.3924265334433,607,152,all
type,1182.27917162799,608,330,all
card,1182.2742641104696,609,120,all
emotional,1181.3724752477672,610,423,all
determining,1179.1633596263607,611,338,all
purchase,1178.903857739876,612,221,all
writing,1174.9034089822428,613,398,all
governing,1173.813608331101,614,363,all
immediately,1172.796398571246,615,1447,all
charged,1172.1471521553715,616,297,all
recognized,1171.931968028924,617,367,all
bylaws,1171.7681977574698,618,46,all
guidelines,1170.6983225845272,619,347,all
chief,1169.1626466926175,620,231,all
ammunition,1169.141998154231,621,38,all
others,1166.8445897495492,622,497,all
partnership,1166.2288775022457,623,196,all
exempt,1165.8908977652368,624,251,all
making,1165.5274475314486,625,594,all
directly,1165.3324367974762,626,442,all
psychological,1165.201429741956,627,344,all
restoration,1164.2943733485884,628,60,all
finding,1163.1874895433157,629,277,all
considered,1162.4335245082323,630,447,all
occupational,1161.9546518162495,631,121,all
performed,1155.7154489005732,632,260,all
parents,1154.1320854296982,633,305,all
history,1154.0961113349808,634,338,all
applicants,1147.515553978318,635,246,all
reasonably,1142.8209318544978,636,365,all
districts,1141.7913120763508,637,259,all
test,1139.2722441280314,638,191,all
powers,1138.3777797185712,639,303,all
moneys,1137.8381256412902,640,236,all
engaged,1136.575993041054,641,268,all
supervising,1135.5430274421665,642,110,all
medically,1132.9229104410206,643,224,all
rehabilitation,1130.6726123285907,644,308,all
award,1126.736766620737,645,256,all
labor,1126.7189013513523,646,214,all
workers,1125.7791781936057,647,357,all
line,1123.8826039938897,648,146,all
overdose,1122.8832821449316,649,137,all
dentist,1122.5392669633136,650,76,all
american,1122.0888750350332,651,407,all
withdrawal,1121.0182907501737,652,135,all
orders,1120.566185692772,653,255,all
entered,1117.5688719074078,654,316,all
circuit,1116.1462429521002,655,108,all
materials,1115.5050328087798,656,316,all
participate,1114.8433726329934,657,447,all
workforce,1111.780254969207,658,183,all
suspension,1108.5112105177457,659,153,all
known,1107.4964955825465,660,629,all
changes,1107.3780730762123,661,586,all
termination,1106.5894135369042,662,210,all
duty,1105.9364772546933,663,287,all
prescribe,1105.4804773956462,664,232,all
prevent,1105.0487178072476,665,463,all
annually,1103.683083193434,666,454,all
entities,1098.724129194822,667,400,all
resident,1098.2314933887842,668,274,all
preparation,1096.0850952730027,669,136,all
residents,1095.4829050448861,670,305,all
appropriation,1094.155571563254,671,597,all
penal,1093.8183466928087,672,180,all
representatives,1093.7824148704137,673,769,all
implementation,1093.1875354978722,674,683,all
engage,1090.5295166575472,675,263,all
equity,1087.6238735969812,676,131,all
psilocybin,1085.7332807936807,677,11,all
alcoholism,1084.1520550908713,678,322,all
trauma,1083.9432108633612,679,235,all
administer,1082.563870667063,680,390,all
eating,1082.4185405717008,681,88,all
active,1082.3979689479368,682,294,all
limit,1082.3643610298327,683,366,all
neglect,1081.1601982343484,684,152,all
client,1080.8192938107115,685,177,all
loss,1080.3950531375342,686,231,all
taking,1079.6781770450793,687,267,all
concerning,1077.321288738139,688,979,all
orientation,1076.9325680887118,689,133,all
results,1076.8676734474057,690,430,all
relation,1076.0815992309042,691,1114,all
intended,1076.068134123708,692,254,all
identified,1075.3294502685608,693,513,all
establishment,1074.757954324118,694,333,all
actual,1074.2551022356758,695,337,all
contrary,1073.4235321464532,696,278,all
academic,1072.736011428094,697,228,all
served,1072.2338555035703,698,413,all
assist,1071.148044646742,699,545,all
found,1071.0039665406423,700,414,all
enter,1069.629624186001,701,358,all
using,1068.5798739230916,702,493,all
commercial,1068.1461138271075,703,150,all
amendment,1067.5557731120286,704,364,all
substantially,1067.2828477467644,705,249,all
net,1067.2446936335202,706,74,all
repealed,1066.3525976900848,707,486,all
portion,1066.2808016454878,708,251,all
expression,1065.7901457508947,709,55,all
setting,1065.6147626154623,710,364,all
occupation,1063.48256932547,711,61,all
fire,1061.3691784787172,712,153,all
resolution,1057.9958893216844,713,349,all
obligations,1057.4008065268272,714,156,all
early,1057.1349946392245,715,340,all
teaching,1057.0635074303748,716,103,all
surgery,1056.6486117097895,717,94,all
decision,1055.5615426794577,718,292,all
telehealth,1054.741878456645,719,121,all
subsequent,1054.05127052091,720,312,all
increased,1051.7795342507225,721,307,all
best,1050.8853683484783,722,452,all
coordination,1049.344529242816,723,322,all
working,1048.112001841307,724,355,all
boards,1046.038763693954,725,223,all
testing,1045.4902784441003,726,209,all
accredited,1045.4036413201134,727,195,all
intent,1044.8681887729408,728,403,all
price,1043.419009143017,729,117,all
behalf,1042.8035417720043,730,332,all
issues,1042.7296904118134,731,588,all
graduate,1041.8514440283193,732,157,all
adoption,1041.6921671863763,733,201,all
sheriff,1040.9527337518077,734,147,all
licenses,1040.9261684435573,735,170,all
transferred,1039.8732014499883,736,228,all
comprehensive,1039.5484776301314,737,412,all
tobacco,1039.3531302940162,738,69,all
responsibilities,1036.4464297219556,739,278,all
parties,1035.9784715333205,740,213,all
pool,1031.604537738634,741,46,all
minority,1030.9843394466297,742,227,all
building,1030.48779077411,743,187,all
placed,1029.8424887174667,744,310,all
consider,1023.7187239097472,745,420,all
promulgated,1021.2741173016695,746,235,all
gambling,1019.9680061594568,747,45,all
maximum,1017.3249272139386,748,249,all
adding,1014.221295374601,749,1491,all
delivered,1013.9141903740245,750,324,all
budget,1013.150345914043,751,235,all
hotline,1012.7320143098884,752,91,all
amend,1012.0364039999625,753,1328,all
retail,1009.4542069336229,754,89,all
environmental,1009.0332867974323,755,146,all
third,1008.6223618336965,756,240,all
life,1008.1909116854058,757,394,all
sufficient,1008.1575530158384,758,383,all
telepsychology,1007.8017191368531,759,16,all
regardless,1007.3276298793235,760,357,all
applicant's,1006.5448185404293,761,133,all
money,1006.297143177099,762,227,all
applied,1005.6624507869798,763,264,all
adults,1002.5814063226419,764,375,all
capacity,1000.6662555942312,765,375,all
continued,998.9719635715604,766,359,all
systems,995.7855179199112,767,360,all
included,994.1492555337965,768,394,all
liquid,991.5590399158465,769,31,all
transport,991.1459044675137,770,106,all
site,991.116028395433,771,181,all
educator,988.41185884871,772,58,all
website,987.9180697195974,773,405,all
dealer,985.5396502184124,774,47,all
counties,984.0036712143002,775,303,all
