domain_group,entity_type,entity,total_mentions,n_bills
high,GPE,.68,2,2
high,GPE,16_states,2,2
high,GPE,18022(b,1,1
high,GPE,18_county,1,1
high,GPE,1_illinois,1,1
high,GPE,1_ny,1,1
high,GPE,1_states,2,2
high,GPE,1_united_states,3,3
high,GPE,2517,5,5
high,GPE,2972_united_states,1,1
high,GPE,2_illinois,2,2
high,GPE,356z.30,1,1
high,GPE,356z.34,1,1
high,GPE,356z.40,1,1
high,GPE,356z.41,1,1
high,GPE,394.461,1,1
high,GPE,397.693,1,1
high,GPE,3_united_states,2,2
high,GPE,42_jersey,2,2
high,GPE,42_uu,2,2
high,GPE,4509_.,2,1
high,GPE,48.43.537,2,2
high,GPE,49_states,2,2
high,GPE,4_additionally,2,2
high,GPE,4_illinois,3,3
high,GPE,5.70.060,1,1
high,GPE,5322,1,1
high,GPE,7_illinois,2,2
high,GPE,8)_county,2,2
high,GPE,813.127,4,4
high,GPE,82.04.298,1,1
high,GPE,82.25.005,1,1
high,GPE,8_illinois,2,2
high,GPE,8_york,1,1
high,GPE,9_county,1,1
high,GPE,a_united_states_depart,1,1
high,GPE,afghanistan,2,2
high,GPE,al_l_states,1,1
high,GPE,alabama,5,3
high,GPE,alaska,50,17
high,GPE,alaska_native,1,1
high,GPE,alaska_natives,6,4
high,GPE,albany,12,8
high,GPE,alcoholics_anonymous,1,1
high,GPE,allegheny,1,1
high,GPE,alton,5,5
high,GPE,america,17,4
high,GPE,amsterdam,2,2
high,GPE,another_united_states,4,4
high,GPE,antioch,1,1
high,GPE,arambula,1,1
high,GPE,arizona,3,3
high,GPE,athens,1,1
high,GPE,atlanta,1,1
high,GPE,auburn,4,2
high,GPE,austin,3,3
high,GPE,b._city,2,2
high,GPE,b._located,1,1
high,GPE,batavia,4,2
high,GPE,bb,93,28
high,GPE,belleville,10,5
high,GPE,bellevue,2,2
high,GPE,beverly,1,1
high,GPE,bexar_county,18,3
high,GPE,black,2,1
high,GPE,blackshear,3,3
high,GPE,blair,1,1
high,GPE,bloomington,7,6
high,GPE,boces,6,4
high,GPE,bonta,1,1
high,GPE,boone,1,1
high,GPE,bradford,3,3
high,GPE,bronx,6,4
high,GPE,brooklyn,16,4
high,GPE,buckeye,2,2
high,GPE,buffalo,6,4
high,GPE,c)(11,6,6
high,GPE,c.s.,4,1
high,GPE,cadiz,2,2
high,GPE,california,140,39
high,GPE,cambodia,4,2
high,GPE,cambria,1,1
high,GPE,canada,32,18
high,GPE,canton,2,2
high,GPE,catskill,2,2
high,GPE,centralia,5,5
high,GPE,chautauqua,4,2
high,GPE,chester,3,3
high,GPE,chicago,88,22
high,GPE,china,4,2
high,GPE,cincinnati,8,2
high,GPE,circleville,2,1
high,GPE,clarion,1,1
high,GPE,clearfield,1,1
high,GPE,cleveland,13,2
high,GPE,clinton_county,4,2
high,GPE,cna,12,2
high,GPE,colorado,6,4
high,GPE,colton,1,1
high,GPE,columbia,1,1
high,GPE,columbus,9,2
high,GPE,compact_states,12,3
high,GPE,connecticut,3,3
high,GPE,continuum,4,4
high,GPE,conway,1,1
high,GPE,cook,4,4
high,GPE,cook_county,12,9
high,GPE,cook_county_'s,1,1
high,GPE,costa,12,12
high,GPE,county,29,6
high,GPE,covid-19,1,1
high,GPE,crawford,1,1
high,GPE,crawley,1,1
high,GPE,cumberland,1,1
high,GPE,cutrona,1,1
high,GPE,cuyahoga,4,2
high,GPE,cuyahoga_heights,2,2
high,GPE,d)(4,6,2
high,GPE,d._compact_states,1,1
high,GPE,dade,2,2
high,GPE,dallas,3,3
high,GPE,danville,7,5
high,GPE,darneille,1,1
high,GPE,dauphin,1,1
high,GPE,dayton,1,1
high,GPE,decatur,11,6
high,GPE,dekalb,1,1
high,GPE,delaware,1,1
high,GPE,designat,1,1
high,GPE,dinitro,1,1
high,GPE,distant_states,4,3
high,GPE,dixon,5,5
high,GPE,doa,4,4
high,GPE,dol,2,2
high,GPE,dupage,7,7
high,GPE,dupage_county,2,2
high,GPE,dutchess,2,2
high,GPE,dutchess_county,2,2
high,GPE,duval_county,4,2
high,GPE,e._member_states,2,2
high,GPE,east_st._8_louis,1,1
high,GPE,east_st._9,1,1
high,GPE,east_st._louis,5,5
high,GPE,ei,1,1
high,GPE,el,1,1
high,GPE,el_paso,1,1
high,GPE,elk,1,1
high,GPE,england,1,1
high,GPE,erie,9,7
high,GPE,erie_county,4,2
high,GPE,establishment.--the_county,4,2
high,GPE,evanston,2,2
high,GPE,f.s.,819,93
high,GPE,fairfield,4,2
high,GPE,fayette,1,1
high,GPE,fl,1,1
high,GPE,flagler,8,2
high,GPE,florida,1116,101
high,GPE,florida_statutes,48,27
high,GPE,fontana,10,10
high,GPE,forest,1,1
high,GPE,fort_bend_county,6,1
high,GPE,fort_bend_county_sec,1,1
high,GPE,fort_worth,1,1
high,GPE,franklin,3,2
high,GPE,"franklin_county_,_inc_.",2,2
high,GPE,freeport,2,2
high,GPE,fulton,1,1
high,GPE,galveston,1,1
high,GPE,geneva,2,2
high,GPE,georgia,209,36
high,GPE,grandview_heights,2,2
high,GPE,granite_city,5,5
high,GPE,greene,1,1
high,GPE,grove_city,4,2
high,GPE,guam,4,2
high,GPE,gymnasiums,1,1
high,GPE,h.b._110,1,1
high,GPE,haloalkyl,4,2
high,GPE,hamilton_county,2,2
high,GPE,handbook,2,2
high,GPE,harborview,1,1
high,GPE,hawaii,4,2
high,GPE,haywood,2,2
high,GPE,hb4026,1,1
high,GPE,hb5500_-_115,1,1
high,GPE,healthchoice_illinois,4,3
high,GPE,hillsborough,3,3
high,GPE,hinsdale,5,5
high,GPE,home_states,1,1
high,GPE,hong,8,8
high,GPE,houston,3,2
high,GPE,humphrey,1,1
high,GPE,huntingdon,1,1
high,GPE,huntington,1,1
high,GPE,i-10,1,1
high,GPE,idaho,4,2
high,GPE,ill.,1,1
high,GPE,illinois,1310,183
high,GPE,immedia,2,2
high,GPE,independence,2,2
high,GPE,india,4,2
high,GPE,indiana,4,4
high,GPE,interstate,1,1
high,GPE,iowa,9,7
high,GPE,iran,14,1
high,GPE,iraq,2,2
high,GPE,israel,2,2
high,GPE,jackson,3,3
high,GPE,jacksonville,1,1
high,GPE,japan,4,2
high,GPE,jasperse,1,1
high,GPE,jefferson,1,1
high,GPE,jersey,2,2
high,GPE,juniata,1,1
high,GPE,kane,5,5
high,GPE,kane_county,1,1
high,GPE,kankakee,5,5
high,GPE,kansas,2,2
high,GPE,kearney,6,6
high,GPE,keefer,1,1
high,GPE,kenosha,1,1
high,GPE,kenston,2,2
high,GPE,kentucky,4,2
high,GPE,king_county,2,1
high,GPE,kings,4,4
high,GPE,kings_county,10,6
high,GPE,kiwanis,4,2
high,GPE,kolkhorst,1,1
high,GPE,korea,4,2
high,GPE,krohe_v._city_of,2,1
high,GPE,ks,1,1
high,GPE,lackawanna,1,1
high,GPE,lake,5,5
high,GPE,lakewood,2,2
high,GPE,lancaster,1,1
high,GPE,lang,1,1
high,GPE,laughlin,1,1
high,GPE,lawrenceville,5,5
high,GPE,lebanon,1,1
high,GPE,lehigh,1,1
high,GPE,leland,1,1
high,GPE,leon_county,2,2
high,GPE,long_island,4,4
high,GPE,louisiana,2,2
high,GPE,lovelett,1,1
high,GPE,lthhcps,18,2
high,GPE,luzerne,1,1
high,GPE,m.s.p.t.,7,5
high,GPE,mahoning,2,2
high,GPE,maine,2,2
high,GPE,malaysia,4,2
high,GPE,manchester,1,1
high,GPE,manhattan,12,4
high,GPE,mansfield,1,1
high,GPE,maryland,2,2
high,GPE,mass_transit,3,2
high,GPE,massachusetts,4,4
high,GPE,massillon,2,2
high,GPE,mattoon,5,5
high,GPE,maywood,2,2
high,GPE,mcandrew,1,1
high,GPE,mchenry,6,6
high,GPE,mchenry_county,1,1
high,GPE,mchenry_county_sheriff_'s,1,1
high,GPE,md,26,6
high,GPE,medina_county,4,2
high,GPE,member_states,8,3
high,GPE,mercer,1,1
high,GPE,mexico,7,3
high,GPE,miami,4,4
high,GPE,michigan,3,3
high,GPE,middletown,2,2
high,GPE,midwifery_birth_33,2,2
high,GPE,midwifery_birth_9,2,2
high,GPE,milwaukee,1,1
high,GPE,milwaukee_county,12,4
high,GPE,minnesota,2,2
high,GPE,missouri,7,5
high,GPE,mn,2,2
high,GPE,mobi,1,1
high,GPE,monroe,7,3
high,GPE,monroe_county,3,3
high,GPE,montgomery,1,1
high,GPE,montrose,2,2
high,GPE,mount_vernon,2,2
high,GPE,mullin,1,1
high,GPE,nalmefene,2,2
high,GPE,naloxefol,2,2
high,GPE,nassau,20,10
high,GPE,nassau_county,2,2
high,GPE,nebraska,2,2
high,GPE,nevada,2,2
high,GPE,new,13,9
high,GPE,new_10_jersey,2,2
high,GPE,new_10_york,4,4
high,GPE,new_11_york,2,2
high,GPE,new_15_york,3,3
high,GPE,new_29_york,2,2
high,GPE,new_31_york,6,4
high,GPE,new_33_york,4,4
high,GPE,new_35_york,2,2
high,GPE,new_38_jersey,2,2
high,GPE,new_38_york,2,2
high,GPE,new_40_york,4,2
high,GPE,new_44_york,2,2
high,GPE,new_50_york,2,2
high,GPE,new_5_york,2,2
high,GPE,new_albany,2,2
high,GPE,new_county,1,1
high,GPE,new_hampshire,4,2
high,GPE,new_jersey,8,4
high,GPE,new_rochelle,2,2
high,GPE,new_york,1372,172
high,GPE,new_york_'s,27,13
high,GPE,new_york_2,6,4
high,GPE,new_york_3,6,6
high,GPE,new_york_4,4,4
high,GPE,new_york_5,1,1
high,GPE,new_york_7,2,2
high,GPE,new_york_city,8,6
high,GPE,new_york_state,12,6
high,GPE,newburgh,2,2
high,GPE,newton,2,2
high,GPE,newtown,3,3
high,GPE,newtown_creek,10,2
high,GPE,niagara,2,2
high,GPE,niagara_falls,2,2
high,GPE,niello,1,1
high,GPE,nielsen,1,1
high,GPE,nies,1,1
high,GPE,no.14,21,12
high,GPE,no.140,1,1
high,GPE,no.21,4,3
high,GPE,no.315,1,1
high,GPE,no.48,11,6
high,GPE,no.6,2,1
high,GPE,nonminor,1,1
high,GPE,nonquantitative,13,5
high,GPE,north_13_carolina,2,2
high,GPE,north_carolina,2,2
high,GPE,north_royalton,4,2
high,GPE,northampton,1,1
high,GPE,northumberland,1,1
high,GPE,notice,2,2
high,GPE,ny,11,9
high,GPE,oak_lawn,5,5
high,GPE,ohio,525,22
high,GPE,oklahoma,2,2
high,GPE,olney,5,5
high,GPE,olympia,3,3
high,GPE,onondaga_county,2,2
high,GPE,optometry,2,2
high,GPE,orange,2,2
high,GPE,orange_county,6,4
high,GPE,orchard_park,4,2
high,GPE,oregon,7,7
high,GPE,osteopathy,3,3
high,GPE,ottawa,2,2
high,GPE,outagamie_county,4,4
high,GPE,ozaukee,1,1
high,GPE,p.l.,40,18
high,GPE,pa.,76,11
high,GPE,pakistan,4,2
high,GPE,pantopon,2,1
high,GPE,paris,2,2
high,GPE,park_ridge,5,5
high,GPE,parker,4,4
high,GPE,pekin,5,5
high,GPE,pennsylvania,32,20
high,GPE,peoria,11,6
high,GPE,petersburg,1,1
high,GPE,philadelphia,1,1
high,GPE,phoenix,1,1
high,GPE,physiotherapy,2,2
high,GPE,pierce_county,2,1
high,GPE,pike,1,1
high,GPE,podiatry,10,5
high,GPE,poughkeepsie,2,2
high,GPE,procedure.-,1,1
high,GPE,pub,1,1
high,GPE,puerto_rico,1,1
high,GPE,putnam,14,4
high,GPE,putnam_county,2,2
high,GPE,queens,16,6
high,GPE,queens_county,8,4
high,GPE,racine,1,1
high,GPE,ramel,1,1
high,GPE,receiving_states,3,3
high,GPE,richmond,4,4
high,GPE,richmond_county,2,2
high,GPE,rochester,8,2
high,GPE,rock,1,1
high,GPE,rock_island,5,5
high,GPE,rockford,5,5
high,GPE,rockland,10,4
high,GPE,rockland_county,2,2
high,GPE,rome,4,2
high,GPE,roosevelt_island,4,2
high,GPE,ross,2,2
high,GPE,s._1001.42(13)(b,1,1
high,GPE,s._1002.20(3)(i,2,2
high,GPE,s._1003.01(13)(e,1,1
high,GPE,s._1003.41,1,1
high,GPE,s._20.03,1,1
high,GPE,s._27.511,1,1
high,GPE,s._27.52,1,1
high,GPE,s._30.15(1)(k,1,1
high,GPE,s._381.402,1,1
high,GPE,s._381.4021,1,1
high,GPE,s._381.9855,1,1
high,GPE,s._381.988,3,3
high,GPE,s._381.99(1,1,1
high,GPE,s._383.2163,1,1
high,GPE,s._393.063,1,1
high,GPE,s._394.47892,1,1
high,GPE,s._394.9082(2)(e,1,1
high,GPE,s._394.9082(5,6,6
high,GPE,s._394.9086,2,2
high,GPE,s._395.602(2)(b,1,1
high,GPE,s._397.417(5,4,4
high,GPE,s._397.4871(8)(b,2,2
high,GPE,s._397.6772,7,7
high,GPE,s._397.6818,6,6
high,GPE,s._468.1125(8,1,1
high,GPE,s._491.009(1,2,2
high,GPE,s._734_409.986(2)(e,1,1
high,GPE,s._735_409.986(2)(e,1,1
high,GPE,s._766.1115(3)(d)14,2,1
high,GPE,s._769_409.986(2)(e,1,1
high,GPE,s._773_409.986(2)(e,1,1
high,GPE,s._940.202,6,4
high,GPE,s._943.05(4,2,2
high,GPE,s._943.10(4,1,1
high,GPE,s._943.10(7,1,1
high,GPE,s._943.12(5,1,1
high,GPE,s._943.13(1)-(10_),1,1
high,GPE,s._943.13(10,1,1
high,GPE,s._945.215(2)(b,2,2
high,GPE,samoa,4,2
high,GPE,san_antonio,1,1
high,GPE,sangamon_county,6,4
high,GPE,santa,1,1
high,GPE,santa_claus,1,1
high,GPE,schenectady,2,2
high,GPE,schofield,2,2
high,GPE,schuylkill,1,1
high,GPE,sea_mar,1,1
high,GPE,seattle,10,3
high,GPE,sheriffs,2,2
high,GPE,skagit,1,1
high,GPE,snohomish,2,2
high,GPE,sobecki,1,1
high,GPE,somerset,1,1
high,GPE,south_bend,2,2
high,GPE,south_carolina,2,2
high,GPE,south_dakota,2,2
high,GPE,south_florida,2,2
high,GPE,spain,1,1
high,GPE,spokane_county,1,1
high,GPE,springfield,14,7
high,GPE,st._2512,1,1
high,GPE,st._charles,2,2
high,GPE,st._clair_county,2,2
high,GPE,st._louis,5,5
high,GPE,states,14,3
high,GPE,stefano,1,1
high,GPE,streetgang,1,1
high,GPE,subd,8,8
high,GPE,subdivision,3,3
high,GPE,sudan,12,1
high,GPE,suffolk,14,6
high,GPE,suffolk_county,2,2
high,GPE,susquehanna,1,1
high,GPE,syracuse,4,2
high,GPE,tazewell,2,1
high,GPE,temple,1,1
high,GPE,tennessee,4,2
high,GPE,texas,23,15
high,GPE,thailand,4,2
high,GPE,the_16_republic_of_the_sudan,1,1
high,GPE,the_17_republic_of_the_sudan,1,1
high,GPE,the_26_republic_of_the_sudan,1,1
high,GPE,the_27_district_of_columbia,2,2
high,GPE,the_2_united_states_department_of,1,1
high,GPE,the_46_district_of_columbia,2,2
high,GPE,the_4_illinois_sexually_transmissible_disease_control_act,1,1
high,GPE,the_7_illinois_sexually_transmissible_disease_control_act,1,1
high,GPE,the_7_united_states,2,2
high,GPE,the_8_state,5,5
high,GPE,the_buffalo_city_s._8006,2,2
high,GPE,the_city_and_county_of_san_francisco,6,2
high,GPE,the_city_of_chicago,2,2
high,GPE,the_city_of_new_york,2,2
high,GPE,the_compact_states,12,3
high,GPE,the_county_and,2,2
high,GPE,the_county_clerk,2,2
high,GPE,the_county_of_los_angeles,6,2
high,GPE,the_county_of_san_diego,6,2
high,GPE,the_distant_state_'s,3,3
high,GPE,the_district_of,3,1
high,GPE,the_district_of_2_columbia,2,2
high,GPE,the_district_of_3_columbia,1,1
high,GPE,the_district_of_columbia,78,29
high,GPE,the_home_state,30,4
high,GPE,the_home_state_'s,3,3
high,GPE,the_illinois_state,1,1
high,GPE,the_lake_county_community_coalition_11_fund,1,1
high,GPE,the_lake_county_community_coalition_fund,1,1
high,GPE,the_member_states,11,3
high,GPE,the_member_states_',1,1
high,GPE,the_philippine_islands,2,2
high,GPE,the_republic_of_2,1,1
high,GPE,the_republic_of_25,1,1
high,GPE,the_republic_of_sudan,1,1
high,GPE,the_republic_of_the,1,1
high,GPE,the_republic_of_the_12_sudan,1,1
high,GPE,the_republic_of_the_sudan,9,1
high,GPE,the_republic_of_the_sudan_17,1,1
high,GPE,the_state_of_california,73,72
high,GPE,the_state_of_georgia,10,1
high,GPE,the_state_of_illinois,55,33
high,GPE,the_united,1,1
high,GPE,the_united_1168_states_of_america,1,1
high,GPE,the_united_11_states,2,2
high,GPE,the_united_13_states,2,2
high,GPE,the_united_1447_states,1,1
high,GPE,the_united_1716_states_of_america,1,1
high,GPE,the_united_18_states,2,2
high,GPE,the_united_1994_states,1,1
high,GPE,the_united_2000_states,1,1
high,GPE,the_united_20_states,4,4
high,GPE,the_united_21_states,2,2
high,GPE,the_united_22_states,3,3
high,GPE,the_united_22_states_secret_service,1,1
high,GPE,the_united_24_states,5,5
high,GPE,the_united_2624_states,1,1
high,GPE,the_united_26_states,1,1
high,GPE,the_united_28_states,2,2
high,GPE,the_united_2_states,3,3
high,GPE,the_united_31_states,4,4
high,GPE,the_united_33_states,2,2
high,GPE,the_united_36_states,2,2
high,GPE,the_united_37_states,2,2
high,GPE,the_united_38_states,2,2
high,GPE,the_united_3_states,2,2
high,GPE,the_united_41_states,2,2
high,GPE,the_united_42_states,2,2
high,GPE,the_united_43_states,4,2
high,GPE,the_united_4_states,2,2
high,GPE,the_united_50_states,2,2
high,GPE,the_united_54_states,2,2
high,GPE,the_united_56_states,2,2
high,GPE,the_united_6_states,1,1
high,GPE,the_united_73_states,1,1
high,GPE,the_united_7871_7872_7873_7874,1,1
high,GPE,the_united_s.,2,2
high,GPE,the_united_states,1033,216
high,GPE,the_united_states_10_government,1,1
high,GPE,the_united_states_11,1,1
high,GPE,the_united_states_1342,1,1
high,GPE,the_united_states_3_government,1,1
high,GPE,the_united_states_534_department_of_transportation_’s,1,1
high,GPE,the_united_states_611_department_of_education,1,1
high,GPE,the_united_states_7_department_of_health_and_human_services,1,1
high,GPE,the_united_states_864_department_of_health_and_human_services,1,1
high,GPE,the_united_states_9_food_and_drug_administration,1,1
high,GPE,the_united_states_armed_6_forces,2,2
high,GPE,the_united_states_armed_forces,26,9
high,GPE,the_united_states_armed_forces_1079,1,1
high,GPE,the_united_states_armed_forces_institute,2,2
high,GPE,the_united_states_armed_services,2,2
high,GPE,the_united_states_bureau_of_labor_statistics,1,1
high,GPE,the_united_states_bureau_of_the_census,2,2
high,GPE,the_united_states_centers,10,10
high,GPE,the_united_states_coast_26_guard,1,1
high,GPE,the_united_states_coast_6_guard,1,1
high,GPE,the_united_states_coast_guard,1,1
high,GPE,the_united_states_constitution,6,4
high,GPE,the_united_states_department,13,12
high,GPE,the_united_states_department_of_agriculture,1,1
high,GPE,the_united_states_department_of_defense,2,2
high,GPE,the_united_states_department_of_education,5,4
high,GPE,the_united_states_department_of_environmental_protection,1,1
high,GPE,the_united_states_department_of_health,4,4
high,GPE,the_united_states_department_of_health_and_human_2_services,1,1
high,GPE,the_united_states_department_of_health_and_human_services,2,2
high,GPE,the_united_states_department_of_housing,2,2
high,GPE,the_united_states_department_of_housing_and_urban_development_’s,2,1
high,GPE,the_united_states_department_of_justice,4,4
high,GPE,the_united_states_department_of_labor,12,10
high,GPE,the_united_states_department_of_labor_bureau,2,2
high,GPE,the_united_states_department_of_transportation,2,2
high,GPE,the_united_states_district_court,22,14
high,GPE,the_united_states_drug_3689_enforcement_administration,1,1
high,GPE,the_united_states_environmental_protection_agency,1,1
high,GPE,the_united_states_government,2,2
high,GPE,the_united_states_interagency_council,2,2
high,GPE,the_united_states_interagency_council_on_homelessness,1,1
high,GPE,the_united_states_medical_3397_licensing_examination,1,1
high,GPE,the_united_states_medical_3529_licensing_examination,1,1
high,GPE,the_united_states_medical_licensing_examination,1,1
high,GPE,the_united_states_of_america,15,12
high,GPE,the_united_states_office_of_minority_health,2,2
high,GPE,the_united_states_olympic,2,2
high,GPE,the_united_states_postal_service,3,2
high,GPE,the_united_states_public_health_service,4,2
high,GPE,the_united_states_public_health_service_act,1,1
high,GPE,the_united_states_public_health_service_commissioned_corps,2,2
high,GPE,the_united_states_public_health_services,1,1
high,GPE,the_united_states_public_health_services_act,2,1
high,GPE,the_united_states_secret_service,1,1
high,GPE,the_united_states_social_security_administration,1,1
high,GPE,the_united_states_veterans_administration,2,2
high,GPE,the_united_states_virgin,1,1
high,GPE,the_virgin_islands,10,2
high,GPE,thence_northwesterly,2,2
high,GPE,thence_southerly,4,2
high,GPE,thence_southwesterly,2,2
high,GPE,thence_westerly,8,2
high,GPE,toledo,2,2
high,GPE,transitional_jobs,8,4
high,GPE,tritonal,1,1
high,GPE,troy,1,1
high,GPE,tuscaloosa,1,1
high,GPE,twinsburg,4,2
high,GPE,u.s.,64,39
high,GPE,ulster,2,2
high,GPE,ulster_county,2,2
high,GPE,united,2,2
high,GPE,united_states,385,106
high,GPE,urbana,5,5
high,GPE,urbana_-_champaign,1,1
high,GPE,utica,6,4
high,GPE,uu,11,5
high,GPE,uu)(1)(c,1,1
high,GPE,va,8,4
high,GPE,venango,1,1
high,GPE,vermont,2,2
high,GPE,veterans,2,1
high,GPE,vietnam,4,2
high,GPE,villapudua,2,2
high,GPE,virginia,4,2
high,GPE,voip,2,1
high,GPE,volusia,9,2
high,GPE,walworth,1,1
high,GPE,warehouseperson,4,4
high,GPE,warren,4,4
high,GPE,washington,561,78
high,GPE,waukesha,1,1
high,GPE,wausau,8,4
high,GPE,wayne,1,1
high,GPE,west_side,2,2
high,GPE,west_virginia,3,3
high,GPE,westchester,4,4
high,GPE,westchester_county,2,2
high,GPE,westerville,4,2
high,GPE,westmoreland,1,1
high,GPE,white_plains,2,2
high,GPE,will_county,1,1
high,GPE,winnebago_county,4,2
high,GPE,wisconsin,78,31
high,GPE,wisconsin_county,4,3
high,GPE,wit,2,2
high,GPE,wit_v._united_12,2,2
high,GPE,wyoming,1,1
high,GPE,xviii,16,8
high,GPE,xx,12,8
high,GPE,xxx,2,2
high,GPE,yonkers,4,2
high,GPE,york,18,16
high,GPE,yy,4,4
high,GPE,yyy,6,2
high,ORG,"""_public_pension_division",1,1
high,ORG,(_p_)_service,2,2
high,ORG,.52,2,2
high,ORG,0202,2,1
high,ORG,10111,3,3
high,ORG,1017,19,19
high,ORG,101st_general_assembly,1,1
high,ORG,1023_397.305_legislative,1,1
high,ORG,102nd_general_assembly,7,6
high,ORG,1033,1,1
high,ORG,1035,18,18
high,ORG,1036,18,18
high,ORG,104,18,18
high,ORG,1047,2,2
high,ORG,104_pub,5,5
high,ORG,104_stat,7,3
high,ORG,106.115_council,2,2
high,ORG,1063,18,18
high,ORG,10639,1,1
high,ORG,1069,10,10
high,ORG,1093,4,4
high,ORG,10_23.09_service,2,2
high,ORG,10_bureau_of_prisons,1,1
high,ORG,10_expunge_records,1,1
high,ORG,10_f._service,2,2
high,ORG,10_family_services,1,1
high,ORG,10_human_services,1,1
high,ORG,10_illinois_tobacco_quitline,3,3
high,ORG,10_professional_regulation,3,3
high,ORG,10_representatives,2,2
high,ORG,10_state_special_license_plate_fund,1,1
high,ORG,10_uniform_relocation_assistance_and_real_property_11_acquisition_policies_act,2,2
high,ORG,10_violence_fatality_review_committee,1,1
high,ORG,1111,8,8
high,ORG,1116_1117_1118_1119_1120_1121_1122,16,16
high,ORG,1134_state,1,1
high,ORG,1138,3,3
high,ORG,1138_psychological_association,1,1
high,ORG,1139,3,3
high,ORG,1143,2,2
high,ORG,1145,4,4
high,ORG,1145_1146,14,14
high,ORG,1145_1146_1147,1,1
high,ORG,1147,15,15
high,ORG,115_d._referrals,1,1
high,ORG,1162,2,2
high,ORG,1164,13,13
high,ORG,1176,17,17
high,ORG,1190,1,1
high,ORG,11_department,1,1
high,ORG,11_professional_regulation,2,2
high,ORG,1213,2,2
high,ORG,1217,1,1
high,ORG,1224,17,17
high,ORG,1255,15,15
high,ORG,1267,17,17
high,ORG,1268,15,15
high,ORG,126th,1,1
high,ORG,1288,8,8
high,ORG,128_disposal_system_program,1,1
high,ORG,1295,1,1
high,ORG,12_exposition_authority,1,1
high,ORG,12_public_health_service_act,1,1
high,ORG,12_public_safety_answering_point,1,1
high,ORG,130_disposal_system_program,1,1
high,ORG,1313,25,25
high,ORG,132_disposal_system_program,1,1
high,ORG,134_disposal_system_program,1,1
high,ORG,134th_general_assembly,16,16
high,ORG,135th_general_assembly,10,10
high,ORG,1360,13,13
high,ORG,1385_1386,1,1
high,ORG,13_department,1,1
high,ORG,140.table_n,5,4
high,ORG,1410,1,1
high,ORG,1419,1,1
high,ORG,1456,4,4
high,ORG,14587,1,1
high,ORG,1462,3,3
high,ORG,148th,1,1
high,ORG,149_representatives,1,1
high,ORG,14_(_m_)_compliance_with_order_granting_petition,1,1
high,ORG,14_)_commission,8,4
high,ORG,14_administration_fund,1,1
high,ORG,14_article_vi,1,1
high,ORG,14_court_services_fund,1,1
high,ORG,14_exposition_authority,2,2
high,ORG,14_family_services,1,1
high,ORG,14_food_and_drug_administration,1,1
high,ORG,14_general_assembly,1,1
high,ORG,14_housing_and_urban_development,2,2
high,ORG,14_licensure_board_'s,1,1
high,ORG,14_mental_health_and_division_of_substance_use_prevention,1,1
high,ORG,14_regional_transportation_authority_suburban_transit_access,2,2
high,ORG,14_representatives,1,1
high,ORG,14_services,1,1
high,ORG,15163,2,2
high,ORG,15285,2,2
high,ORG,168th,1,1
high,ORG,16_bureau_of_animal_health_and_welfare,1,1
high,ORG,16_immigration_and_customs_enforcement,1,1
high,ORG,16_professional_regulation,1,1
high,ORG,17285_17286,1,1
high,ORG,18467,2,2
high,ORG,18_aging,1,1
high,ORG,18_corrections,1,1
high,ORG,19028_19029_19030,2,2
high,ORG,19135,1,1
high,ORG,19230,1,1
high,ORG,19885,1,1
high,ORG,199_nutrition_coalition,1,1
high,ORG,19_exposition_authority,1,1
high,ORG,19_representatives,2,2
high,ORG,1_-_a._core,2,2
high,ORG,1_assembly,1,1
high,ORG,1_board,2,2
high,ORG,1_commission,2,2
high,ORG,1_department,10,6
high,ORG,1_energy_infrastructure_fund,1,1
high,ORG,1_incident_stress_management,1,1
high,ORG,1_infrastructure_fund,2,1
high,ORG,1_prevention_'s,1,1
high,ORG,1_representatives,1,1
high,ORG,1_services,1,1
high,ORG,1_women_'s_division,1,1
high,ORG,1dx,24,4
high,ORG,2)(d,8,5
high,ORG,2/17/2021,2,2
high,ORG,20.435_health,6,6
high,ORG,20.437_children,2,2
high,ORG,2023_301_representatives,1,1
high,ORG,2032,1,1
high,ORG,2033,2,1
high,ORG,2069,2,2
high,ORG,2078,2,2
high,ORG,2083,1,1
high,ORG,2104,2,2
high,ORG,2111,3,3
high,ORG,21156,1,1
high,ORG,2132,2,2
high,ORG,21855,1,1
high,ORG,21_expunge_records,1,1
high,ORG,21_family_services,2,2
high,ORG,21_human_services,1,1
high,ORG,21_identification,1,1
high,ORG,21_representatives,1,1
high,ORG,22026,1,1
high,ORG,22285_22286_22287,1,1
high,ORG,22298,1,1
high,ORG,222_representatives,1,1
high,ORG,227_amends_the_criminal_code_of,1,1
high,ORG,22_exposition_authority,1,1
high,ORG,22_professional_regulation,2,2
high,ORG,22_professional_regulation_.,2,2
high,ORG,2302,1,1
high,ORG,2312,1,1
high,ORG,23263,1,1
high,ORG,23584,1,1
high,ORG,2370_foreign_medical,1,1
high,ORG,23_corrections,1,1
high,ORG,2416_foreign_medical_graduates,1,1
high,ORG,248,28,28
high,ORG,24_family_services,1,1
high,ORG,24_standards_for_audits_of_governmental_organizations,2,2
high,ORG,2641,7,7
high,ORG,264_grants_program,1,1
high,ORG,26_d._enforcement,2,2
high,ORG,27.341_electronic,1,1
high,ORG,2736,2,2
high,ORG,27_-_h,2,2
high,ORG,2805,9,9
